Elapsed Time,EMG1,EMG2,EMG3,BioRadio Event,
00:00:08.34,-4.57763671875E-05,-0.00066375732421875,0.00847434997558594,0,
00:00:08.344,-4.57763671875E-05,-0.000658035278320313,0.00847434997558594,0,
00:00:08.348,-5.14984130859375E-05,-0.0006866455078125,0.0084686279296875,0,
00:00:08.352,-5.14984130859375E-05,-0.00070953369140625,0.00847434997558594,0,
00:00:08.356,-5.14984130859375E-05,-0.000680923461914063,0.00847434997558594,0,
00:00:08.36,-4.00543212890625E-05,-0.000669479370117188,0.00847434997558594,0,
00:00:08.364,-4.00543212890625E-05,-0.000675201416015625,0.0084686279296875,0,
00:00:08.368,-4.57763671875E-05,-0.000680923461914063,0.0084686279296875,0,
00:00:08.372,-5.7220458984375E-05,-0.000703811645507813,0.0084686279296875,0,
00:00:08.376,-5.7220458984375E-05,-0.000703811645507813,0.0084686279296875,0,
00:00:08.38,-5.14984130859375E-05,-0.000675201416015625,0.0084686279296875,0,
00:00:08.384,-4.57763671875E-05,-0.000669479370117188,0.0084686279296875,0,
00:00:08.388,-4.57763671875E-05,-0.000669479370117188,0.0084686279296875,0,
00:00:08.392,-5.7220458984375E-05,-0.000675201416015625,0.0084686279296875,0,
00:00:08.396,-5.14984130859375E-05,-0.000680923461914063,0.0084686279296875,0,
00:00:08.4,-5.7220458984375E-05,-0.000703811645507813,0.0084686279296875,0,
00:00:08.404,-5.7220458984375E-05,-0.000703811645507813,0.0084686279296875,0,
00:00:08.408,-5.7220458984375E-05,-0.00066375732421875,0.0084686279296875,0,
00:00:08.412,-5.14984130859375E-05,-0.000635147094726563,0.0084686279296875,0,
00:00:08.416,-5.14984130859375E-05,-0.00066375732421875,0.0084686279296875,0,
00:00:08.42,-5.7220458984375E-05,-0.000692367553710938,0.0084686279296875,0,
00:00:08.424,-5.7220458984375E-05,-0.000692367553710938,0.0084686279296875,0,
00:00:08.428,-5.14984130859375E-05,-0.000669479370117188,0.00846290588378906,0,
00:00:08.432,-5.14984130859375E-05,-0.000669479370117188,0.00846290588378906,0,
00:00:08.436,-4.00543212890625E-05,-0.000675201416015625,0.00846290588378906,0,
00:00:08.44,-4.00543212890625E-05,-0.000675201416015625,0.00846290588378906,0,
00:00:08.444,-4.00543212890625E-05,-0.00066375732421875,0.00846290588378906,0,
00:00:08.448,-4.00543212890625E-05,-0.000669479370117188,0.00846290588378906,0,
00:00:08.452,-4.57763671875E-05,-0.000698089599609375,0.00846290588378906,0,
00:00:08.456,-4.57763671875E-05,-0.0006866455078125,0.00846290588378906,0,
00:00:08.46,-4.57763671875E-05,-0.00066375732421875,0.00846290588378906,0,
00:00:08.464,-4.57763671875E-05,-0.000658035278320313,0.00845718383789063,0,
